date,location,category,title,price_student,price_guest,price_per_100_g,icons,allergens,co2_portion,c02_100g,kj_portion,kcal_portion,fat_portion,sfat_portion,carbs_portion,sugar_portion,protein_portion,salt_portion,kj_100g,kcal_100g,fat_100g,sfat_100g,carbs_100g,sugar_100g,protein_100g,salt_100g
"2023-01-09","MENSA STUTTGART-VAIHINGEN","VORSPEISE","Broccolisuppe","0.99","1.39","false","vegetarisch","La, Sl","186.9","74.8","418.3","100.0","6.1","3.6"," 7.1 ","2.5 ","3.1 ","0.6 ","167.3","40.0","2.4","1.5"," 2.8 ","1.0 ","1.2 ","0.2 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","VEGANER RENNER","Penne mit Champignons und Cocktailtomaten","2.99","5.49","false","vegan,veganer renner","3, GlW","391.0","79.0","2048.3","489.0","12.1","2.0"," 75.2 ","6.4 ","17.4 ","2.0 ","413.8","99.0","2.4","0.4"," 15.2 ","1.3 ","3.5 ","0.4 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","HAUPTGERICHT","Mini-Frühlingsrollen mit fruchtiger Currysauce und Duftreis","4.90","7.40","false","vegetarisch","La, Sl, GlW","810.4","166.8","3327.7","795.0","34.0","6.1"," 106.6 ","18.0 ","11.8 ","3.0 ","684.7","164.0","7.0","1.3"," 21.9 ","3.7 ","2.4 ","0.6 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","HAUPTGERICHT","Paniertes Schweineschnitzel mit Rahmsauce ,Preiselbeeren und Spätzle","5.20","7.70","false","schwein","Ei, La, GlW, GlD","1285.7","235.9","3757.9","898.0","35.9","7.8"," 98.0 ","19.8 ","43.5 ","6.7 ","689.5","165.0","6.6","1.4"," 18.0 ","3.6 ","8.0 ","1.2 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","AKTION","Burger Bar","1.10","1.60","true","rind/schwein","1, 2, 3, 5, 7, 8, Ei, La, Sf, Se, Sw, GlW, GlD, GlR, GlG, GlH","410.1","","6370.4","999.9","60.9","20.0"," 175.7 ","37.2 ","54.4 ","10.1 ","6370.4","999.9","60.9","20.0"," 175.7 ","37.2 ","54.4 ","10.1 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","AKTION","Wok im OG: Gemüsewok Soja-Pflaume mit Mienudeln Schweinefleischstreifen zum Wokgericht","1.10","1.60","true","schwein","So, GlW","1242.1","","2855.1","682.0","13.5","2.1"," 88.4 ","25.0 ","45.4 ","8.5 ","2855.1","682.0","13.5","2.1"," 88.4 ","25.0 ","45.4 ","8.5 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","AKTION","Wok im OG: Gemüsewok Süß-Sauer mit Duftreis","1.10","1.60","true","vegan"," 
													
CO2 pro Portion672.2 gNährwerte pro PortionBrennwert: 2315.3 kj / 553.0 kcalFett: 2.9 g - davon ges. FS: 0.5 gKohlenhydrate: 111.8 g - davon Zucker: 29.9 gEiweiß: 13.4 gSalz: 4.1 g


 ","672.2","","2315.3","553.0","2.9","0.5"," 111.8 ","29.9 ","13.4 ","4.1 ","2315.3","553.0","2.9","0.5"," 111.8 ","29.9 ","13.4 ","4.1 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","AKTION","Flammkuchen Elsässer Art","4.95","7.45","false","schwein","1, 3, La, GlW","","","3222.2","770.0","39.0","19.2"," 81.1 ","3.0 ","23.7 ","4.7 ","1074.1","257.0","13.0","6.4"," 27.0 ","1.0 ","7.9 ","1.6 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","BEILAGE","Erbsen","0.99","1.39","false","vegan"," 
													
CO2 pro Portion176.3 gNährwerte pro PortionBrennwert: 730.5 kj / 174.0 kcalFett: 4.6 g - davon ges. FS: 2.3 gKohlenhydrate: 18.2 g - davon Zucker: 6.3 gEiweiß: 10.4 gSalz: 0.9 g
CO2 pro 100 g88.2 gNährwerte pro 100 gBrennwert: 365.3 kj / 87.0 kcalFett: 2.3 g - davon ges. FS: 1.1 gKohlenhydrate: 9.1 g - davon Zucker: 3.2 gEiweiß: 5.2 gSalz: 0.4 g

 ","176.3","88.2","730.5","174.0","4.6","2.3"," 18.2 ","6.3 ","10.4 ","0.9 ","365.3","87.0","2.3","1.1"," 9.1 ","3.2 ","5.2 ","0.4 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","BEILAGE","Pommes frites","1.19","1.59","false","vegan"," 
													
CO2 pro Portion1296.4 gNährwerte pro PortionBrennwert: 2029.3 kj / 485.0 kcalFett: 30.1 g - davon ges. FS: 6.6 gKohlenhydrate: 46.2 g - davon Zucker: 1.1 gEiweiß: 5.5 gSalz: 1.1 g
CO2 pro 100 g589.3 gNährwerte pro 100 gBrennwert: 922.4 kj / 220.0 kcalFett: 13.7 g - davon ges. FS: 3.0 gKohlenhydrate: 21.0 g - davon Zucker: 0.5 gEiweiß: 2.5 gSalz: 0.5 g

 ","1296.4","589.3","2029.3","485.0","30.1","6.6"," 46.2 ","1.1 ","5.5 ","1.1 ","922.4","220.0","13.7","3.0"," 21.0 ","0.5 ","2.5 ","0.5 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","BEILAGE","Spätzle","1.19","1.59","false","vegetarisch","Ei, GlW, GlD","239.9","120.0","1486.0","355.0","10.4","3.3"," 51.6 ","0.4 ","13.2 ","3.6 ","743.0","177.0","5.2","1.6"," 25.8 ","0.2 ","6.6 ","1.8 "
"2023-01-09","MENSA STUTTGART-VAIHINGEN","SALAT","Beilagensalat","0.99","1.39","false","vegan"," 
													
CO2 pro Portion14.9 gNährwerte pro PortionBrennwert: 41.5 kj / 10.0 kcalFett: 0.1 g - davon ges. FS: 0.0 gKohlenhydrate: 1.1 g - davon Zucker: 0.9 gEiweiß: 0.8 gSalz: 0.1 g
CO2 pro 100 g29.8 gNährwerte pro 100 gBrennwert: 83.0 kj / 20.0 kcalFett: 0.2 g - davon ges. FS: 0.1 gKohlenhydrate: 2.2 g - davon Zucker: 1.8 gEiweiß: 1.6 gSalz: 0.1 g

 ","14.9","29.8","41.5","10.0","0.1","0.0"," 1.1 ","0.9 ","0.8 ","0.1 ","83.0","20.0","0.2","0.1"," 2.2 ","1.8 ","1.6 ","0.1 "
